interaction_id,customer_id,interaction_date,interaction_type,category,priority,resolution_time_hours,satisfaction_score,resolved
INT_000000,CUST_001376,2023-06-01 00:00:00,phone,onboarding,high,41.89120957293248,5,True
INT_000001,CUST_001985,2023-06-01 01:00:00,phone,onboarding,low,4.310720873681547,1,False
INT_000002,CUST_001805,2023-06-01 02:00:00,chat,billing,medium,8.391919107791846,4,True
INT_000003,CUST_001956,2023-06-01 03:00:00,phone,onboarding,high,2.1183795121797795,3,True
INT_000004,CUST_000014,2023-06-01 04:00:00,email,onboarding,low,5.654874605265335,4,True
INT_000005,CUST_000848,2023-06-01 05:00:00,email,onboarding,medium,0.7702027377909687,4,False
INT_000006,CUST_000122,2023-06-01 06:00:00,email,account,low,0.26889870434054897,2,False
INT_000007,CUST_000091,2023-06-01 07:00:00,chat,account,high,76.95195403820934,1,False
INT_000008,CUST_000569,2023-06-01 08:00:00,phone,billing,medium,2.290322743540965,4,False
INT_000009,CUST_001768,2023-06-01 09:00:00,chat,billing,low,4.887284776683855,4,True
INT_000010,CUST_001755,2023-06-01 10:00:00,phone,account,medium,8.990609976427034,3,True
INT_000011,CUST_000658,2023-06-01 11:00:00,phone,billing,high,7.2922127234029785,5,True
INT_000012,CUST_001298,2023-06-01 12:00:00,email,billing,low,4.479903051364474,2,True
INT_000013,CUST_001788,2023-06-01 13:00:00,phone,account,high,0.20519833370785764,1,False
INT_000014,CUST_001795,2023-06-01 14:00:00,phone,account,medium,6.983909429703532,2,True
INT_000015,CUST_000109,2023-06-01 15:00:00,chat,technical,high,28.965570683649034,2,True
INT_000016,CUST_001774,2023-06-01 16:00:00,chat,billing,high,13.461737867143174,1,True
INT_000017,CUST_001962,2023-06-01 17:00:00,phone,billing,low,12.620523274569033,5,True
INT_000018,CUST_001542,2023-06-01 18:00:00,email,onboarding,low,29.28227700672811,4,False
INT_000019,CUST_001912,2023-06-01 19:00:00,phone,account,medium,2.1340923025196235,2,False
INT_000020,CUST_001420,2023-06-01 20:00:00,email,account,high,36.12940413103956,1,True
INT_000021,CUST_000459,2023-06-01 21:00:00,chat,billing,high,40.50839135998592,5,True
INT_000022,CUST_001097,2023-06-01 22:00:00,chat,billing,low,6.805149780770995,3,True
INT_000023,CUST_000496,2023-06-01 23:00:00,phone,onboarding,low,15.007799046032304,4,False
INT_000024,CUST_001871,2023-06-02 00:00:00,email,account,medium,0.22877711331369968,2,True
INT_000025,CUST_000078,2023-06-02 01:00:00,email,onboarding,high,34.96756791169218,2,True
INT_000026,CUST_000422,2023-06-02 02:00:00,email,account,high,6.012611028191339,1,True
INT_000027,CUST_001181,2023-06-02 03:00:00,phone,onboarding,low,46.19095242463894,5,True
INT_000028,CUST_000872,2023-06-02 04:00:00,phone,technical,high,5.6434141806174285,5,False
INT_000029,CUST_000288,2023-06-02 05:00:00,phone,account,high,10.742668362855936,2,True
INT_000030,CUST_000468,2023-06-02 06:00:00,email,onboarding,medium,1.2548265436983455,2,True
INT_000031,CUST_001996,2023-06-02 07:00:00,phone,onboarding,low,1.6808901392467326,2,True
INT_000032,CUST_001725,2023-06-02 08:00:00,chat,technical,low,5.937368710228487,2,True
INT_000033,CUST_001206,2023-06-02 09:00:00,chat,account,low,4.800011166026426,5,False
INT_000034,CUST_000737,2023-06-02 10:00:00,email,account,low,1.3090180071394548,3,False
INT_000035,CUST_000577,2023-06-02 11:00:00,phone,onboarding,medium,0.3897144301112588,5,True
INT_000036,CUST_001170,2023-06-02 12:00:00,phone,onboarding,medium,14.330414702457531,2,True
INT_000037,CUST_001065,2023-06-02 13:00:00,email,billing,high,1.9307113198804964,3,False
INT_000038,CUST_000701,2023-06-02 14:00:00,email,account,medium,20.508571583520734,2,True
