subscription_id,customer_id,subscription_tier,monthly_revenue,subscription_start_date,subscription_end_date,is_active,payment_method,created_at,updated_at
SUB_000000,CUST_000568,enterprise,299,2022-01-01,,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000001,CUST_001963,premium,299,2022-01-02,2024-06-11,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000002,CUST_001505,premium,299,2022-01-03,2025-05-26,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000003,CUST_001826,enterprise,99,2022-01-04,2024-11-30,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000004,CUST_001137,basic,299,2022-01-05,,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000005,CUST_001916,basic,29,2022-01-06,2024-12-11,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000006,CUST_000896,premium,99,2022-01-07,2024-11-01,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000007,CUST_000819,enterprise,99,2022-01-08,,True,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000008,CUST_000852,basic,299,2022-01-09,,True,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000009,CUST_001500,basic,99,2022-01-10,2024-03-27,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000010,CUST_000709,premium,29,2022-01-11,,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000011,CUST_001956,enterprise,29,2022-01-12,,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000012,CUST_000320,basic,99,2022-01-13,2025-01-06,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000013,CUST_000178,premium,299,2022-01-14,,False,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000014,CUST_000896,basic,299,2022-01-15,2025-02-07,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000015,CUST_000218,basic,99,2022-01-16,2024-05-21,True,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000016,CUST_000788,basic,29,2022-01-17,2024-11-04,False,paypal,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000017,CUST_001972,premium,99,2022-01-18,,True,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000018,CUST_001551,enterprise,299,2022-01-19,2025-08-08,False,invoice,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
SUB_000019,CUST_000491,premium,299,2022-01-20,,True,credit_card,2025-06-19 17:50:02.583162,2025-06-19 17:50:02.583187
